repo_name,last_checkout,date
jwang36/edk2,d9269d69138860edb1ec9796ed48549dc6ba5735,2020-07-15 16:20:31
jwang36/edk2,d9269d69138860edb1ec9796ed48549dc6ba5735,2020-07-15 16:20:31
tianocore/edk2,bbb8a818583853ec4bb7804e78ed1d304b709d33,2020-07-24 17:37:42
kees/linux,31f4f5b495a62c9a8b15b1c3581acd5efeb9af8c,2019-11-10 16:17:15
magnumripper/JohnTheRipper,2778d2e9df4aa852d0bc4bfbb7b7f3dde2935b0c,2020-06-16 21:11:40
danielfalck/FreeCAD,3565d4ef1826d4bde7a350c56f119fb4da2cdc4d,2016-12-04 17:05:58
wanadev/PhotonUI,a678948de9fdc35453a8b1dd0c12c7d366700939,2017-05-17 11:39:55
pantsbuild/pex,436dc554c1ac234e01529f9f275f7bd01130a51b,2020-07-28 10:30:42
lguzzon/Ractive,55858dec4ea87dfe19b8ec6af3fccf32567a8d96,2016-12-30 13:55:22
bvanassche/net-snmp,d88c600fb2ff3f3132bb5ee83d315d5e72719132,2020-07-24 08:37:04
sidben/AtelierCanvas,51e350ba5dcfff7ed2a9efaf25ce449d3190ad8e,2015-10-05 15:52:08
sqlitebrowser/sqlitebrowser,aaa628bf34dddef05fc59118d19481ad0752579e,2020-08-02 19:11:00
mdboom/matplotlib,d2d9d7d308145181379ea7c8439ff8fb2f5dcf9b,2016-09-20 17:48:42
Sharpie/vagrant-pe_build,10a2c7106cc74118ec9f41eb469a14a819db7046,2018-12-31 15:33:34
asterisk/asterisk,1f78ee9d0f83bfeac2a73da99d526061a4437142,2020-07-23 13:47:25
fuel/core,5aa32929cce4741ce9b3c7c9dc942d4e659d275a,2020-07-31 05:37:03
anitazha/systemd,b18573e16fb0055029f6af9078c2e5f52626bc9b,2020-06-24 22:45:20
obspy/obspy,82219606514803c87d09c544502970815e19042f,2020-08-01 13:08:19
PmagPy/PmagPy,113316341093ec66437c30505c916e574f512d58,2020-07-30 16:57:09
openstack/cinder,a805bab7c4b8e75c3169c97969dd7a1488a31e6c,2020-08-03 18:11:03
clips/pattern,d25511f9ca7ed9356b801d8663b8b5168464e68f,2020-04-25 14:40:40
openstack/nova,8ecc29bfccc64e6036d068f9bcbeb0d8e0748776,2020-07-31 17:29:18
mozilla/fxa-content-server,d0392d3faed3efc90cebb2c95a379892ad1d9e5c,2019-04-03 07:24:31
UniTime/unitime,2ce18810c3e5e2ac72141e6b03b5dac629ffc6f8,2020-08-03 22:21:14
rjwysocki/linux-pm,fa548237321c4469e80741f773c4f5935a68a998,2015-10-16 14:32:27
unshiftio/url-parse,190b2168035899a2a88f2dc2625963bf7e2f338f,2020-06-17 08:15:12
crimsonthunder/Crystal_Kernel_OP6T,19c4fef217103fedda4f077ff7d8b865f5e75c44,2018-05-10 02:05:03
SlimRoms/kernel_htc_flounder,11a12cc200434521293392cb7d3f64b94a1c28cd,2017-12-12 23:52:39
volatilityfoundation/volatility,5f685e56705611a589c689f374f5c5152eb57f86,2020-05-28 15:12:59
jrmhaig/daemons,714b50d312bc231ffd8a0b9f2d755b851891be14,2015-06-25 22:22:55
tiborsimko/invenio,d5503274a0e5f71258fadaac445984b5b2c418aa,2018-08-24 16:10:35
driftyco/ionic,f58424f62596b9eb82bebb8e07c211e1725c025a,2020-07-29 12:15:34
systemd/systemd,94efaa31812f664f0ad659f474db3da0f9c9bacd,2020-08-03 11:39:25
analogdevicesinc/linux,a84b669c66e5a3e6aa183f49c103126f507567ff,2020-07-31 15:33:08
MythTV/mythtv,e7942ad3fe8e3ce8aca7f1561c24301d2f0f1f96,2020-08-03 11:24:48
LibreOffice/core,750a6bddf16a2e85555ae3859bf5facfd8cff955,2020-08-04 00:16:03
PierreRaybaut/guiqwt,fb396a9359e51e914dcb14ce45feab98ccec197f,2016-10-09 09:52:00
miguel-negrao/supercollider,94dd0bd90a246415f673ad4c74b7201b8f26d223,2015-01-21 20:58:48
cpaasch/mptcp,7dc057edb502ded02b91ae9a68f1114ddcf4c8ff,2016-11-21 20:04:31
joyent/libuv,0b07b299e9c3bbf3bb59b71fccae18418b356101,2014-11-26 21:53:02
ncopa/openrc,fbbad65b293c2254edcdfab0171bbe204464d503,2015-05-14 18:52:07
SchedMD/slurm,6867509588fcff4dd1496619f07796a50da7f6c5,2020-07-13 14:29:06
peircej/psychopy,87b9f4bf0d86eb7cdbc340e0232d616aaa2cdb70,2020-08-03 18:50:23
chrisforbes/mesa,2e49559c7727370839c28992c304f843db77c31a,2014-07-22 11:02:11
torvalds/linux,bcf876870b95592b52519ed4aafcf9d95999bc9c,2020-08-02 14:21:45
codinguser/gnucash-android,879596c1ff4bde9e10c7f3626e2554b148cb5882,2018-06-15 16:41:46
ystreet/gst-plugins-gl,41de8900b8323696d0b434096d56eab0321d2256,2014-02-21 15:25:22
pandemicsyn/statsdpy,9cfccf89121fd6a12df20f17fa3eb8f618a36455,2014-07-29 11:47:24
MaddTheSane/qemu,54047daad948aa083f1736eefe890d1f36b4816a,2018-05-30 12:18:02
scylladb/scylla-tools-java,aa7898d771187e260baa6beec56470b18323efd7,2020-07-29 12:43:57
mconf/mconf-web,8c599b36fff39a72ef1d63cded5eb2510b78d743,2018-03-28 17:08:12
jupyter/notebook,e67f910d1c7eaa62427c0739145fb0fd788d4266,2020-08-03 13:55:42
DynamoRIO/dynamorio,4baeecd07fa70764899d5627987ae96a07863868,2020-08-03 17:45:57
systemd/systemd,94efaa31812f664f0ad659f474db3da0f9c9bacd,2020-08-03 11:39:25
codemirror/CodeMirror,5bff5502c813ef773c0a6a47a7c761d017f0361d,2020-07-30 20:52:29
libvirt/libvirt,aeecac61e8b3369306acfb07c98f5d998e4862fb,2020-08-03 15:08:28
audacity/audacity,06877a774214c450bad7b778721af56282e774e7,2020-08-03 16:40:51
jandecaluwe/myhdl,a4708fac7f6918e91bd3d0ad38a3621fabfa9208,2020-06-13 00:04:38
JuliaLang/julia,1888e3161cf2921a33004407c0fd5318ff660a91,2020-08-02 11:45:05
systemd/systemd,94efaa31812f664f0ad659f474db3da0f9c9bacd,2020-08-03 11:39:25
hughsie/colord,d4a3d4a702b144cf182ccfef894f0dfbf209e813,2020-07-16 23:00:37
gaearon/react,d4fc6a0f195d4235a07022816ad289f70c1dea8c,2016-12-09 21:23:20
duojs/pack,8b0eb4ca84341340670eab13222f7acd913cc42a,2015-07-24 14:08:11
Freeyourgadget/Gadgetbridge,4b538d7226438e38c2b12c66c610ea6986efe680,2020-08-02 23:30:22
GMOD/jbrowse,11d5f63e19ce8016263b6d661c5fbfa3a2ccdbd8,2020-05-21 12:50:24
cheton/cnc,88cb3636fa333d0dbbf5036c02f02116992e3661,2020-03-29 10:49:19
rohgarg/dmtcp-1,362567202413271fd9e1c90adca09995dd085b44,2017-10-25 16:41:52
systopia/de.systopia.signatures,1b06178af45dc976ab0d3d202dff960e059a3cd9,2020-04-14 12:44:05
GNOME/gnome-shell,a96c8d91b5c2bf4160f9d92575c05328344684bc,2020-08-03 23:41:08
nydailynews/restaurant-guide,31211d0108662b78682da4e30be25f510ad29bff,2018-06-14 10:19:59
systemd/systemd,94efaa31812f664f0ad659f474db3da0f9c9bacd,2020-08-03 11:39:25
mtaylor/activemq-artemis,14861dbc7de92f765e74de38b362a5518a09b3d3,2017-03-13 13:09:15
jbottel/TARS,1a68751688412adeedaa726c79a9519e5dc3236e,2016-01-31 21:26:12
spring-projects/spring-framework,762cf0ffe862fcfd52933657d494d9cb2c0757da,2020-08-04 16:05:47
federicomariamassari/willow-tree,1a4c37ed896d3213ed8e919737511bc61d355398,2018-07-14 16:52:02
dials/dials,6a7d752e256c6f88ceafd7f0fb3fd1bfb18ff85d,2020-07-31 09:26:52
toladata/TolaActivity,abc6ed5d37dce5b89eda9138552094a79f9e21b8,2019-04-03 13:44:10
haikuports/haikuporter,35d0f2ef661244ea91641b8b3313de1d3c03988f,2020-04-23 00:49:06
RobbertProost/qtbase,5eaecaa966c93d42279aaad5e44045279b328bda,2018-01-16 23:36:07
nithinmurali/pygsheets,01b9548dd56b50fa93e4a92ab879b048ae282158,2020-07-07 14:23:01
creesch/reddit-moderator-toolbox,99b47d2e9cd9ab83753fbd651cfa06462c76f2c5,2019-06-05 20:30:10
yuwata/systemd,73b432e7ef212bfad8a3652687621c87d26536b5,2020-07-31 11:35:15
atari800/atari800,7ff8258368fb97ca178a3b09c416fcb9bb6f2dcb,2020-07-05 17:41:03
INRIA/spoon,0bb27f2301a2a76ba1dae11de9964c15e51d42b9,2020-08-03 07:17:40
vatesfr/xen-orchestra,f25fd267dd21b82d34123821f972ddf917fd8f89,2020-08-04 14:09:33
AIFDR/inasafe,bb07ee183ddb3b2aec51510e6a14cbff022e1c0c,2020-08-02 05:40:46
OpenSIPS/opensips,4dba112130651ca6013c7ebc931fc744b3776774,2020-08-03 18:35:25
mesa3d/mesa,76330374413ee8ab857aa35f249652867be8981e,2020-07-31 08:24:13
joshdick/miniProxy,65cbed2907d16f0f25ecdabb420b44c83a36df08,2020-04-26 21:23:44
nouiz/Theano,8e0d724b32ccc0fafe4c3675c909a5fccb6d7c41,2018-11-20 13:16:09
KDE/kwin,40b52eb4a413d0810ef712592d45b2ae4322715f,2020-08-04 13:52:16
dials/dials,6a7d752e256c6f88ceafd7f0fb3fd1bfb18ff85d,2020-07-31 09:26:52
analogdevicesinc/libiio,ef1221816d3ecc19df12262598fcf6e002df0891,2020-08-03 11:44:09
rstudio/rstudio,6adbca1ac4da3079f4de1b8d450182ce51359191,2020-08-04 10:19:24
fwupd/fwupd,1a58062be983f50e99bd5c1e00a5de9606955ffd,2020-08-03 10:02:25
systemd/systemd,94efaa31812f664f0ad659f474db3da0f9c9bacd,2020-08-03 11:39:25
KiCad/kicad-source-mirror,9ff09aa784551264e89350368f61ed6b35266f7a,2020-06-01 17:05:40
kezabelle/django-shouty-templates,e6dd6bb7698e78769152fbc2ef2845f8ea9589ad,2020-07-06 17:08:49
magnumripper/JohnTheRipper,2778d2e9df4aa852d0bc4bfbb7b7f3dde2935b0c,2020-06-16 21:11:40
fish-shell/fish-shell,6eab9275d0770dd7c75e328ee43e260f17f6854f,2020-08-03 17:34:27
OSGeo/gdal,84090e20f2da81a539798dfeb414ba619229f629,2020-08-03 22:23:35
servalproject/serval-dna,8231c7728a62d9c9d8d3da3174360f96443fb110,2020-07-10 09:28:02
SonMinWoo/AnsanBladeWind,f7038d7cd8efd580029b3063638d9026e3796bc2,2019-01-31 20:00:25
cosmocode/dokuwiki-plugin-struct,f3f8245df08c91d286a1bfd8dd1b29d5a2f411c2,2020-07-21 23:51:38
sqlitebrowser/sqlitebrowser,aaa628bf34dddef05fc59118d19481ad0752579e,2020-08-02 19:11:00
garbagemule/MobArena,b0969c655c2d78d18fe71ecd035ec3e4b60e47dc,2020-07-28 09:45:18
OpenFastPath/ofp,374a924d6583d28dd4856514f03f0a2b136904b7,2020-06-06 14:14:33
apache/bookkeeper,b96a5a75403f3260b564ca8c5d5889af51fe9872,2020-07-27 15:06:29
pimcore/pimcore,c780b53833103e74fda4f3bd97f885877faf442c,2020-08-03 18:07:09
dvesh3/pimcore,9d97ca8a76b29f1e4873d74d185c416d56ac3884,2020-01-13 16:13:34
MASCOTNUM/libKriging,960d46cf0266bed4a22b59f3cbe7e923670fc5ba,2020-08-06 10:39:24
ntpsec/gpsd,62b32ab3a2d64cb834753c83c363f10acc19669b,2020-08-05 17:45:26
eclipse/sumo,b327473ec76d026bbddecd74c2d23135f7e9ff72,2020-08-06 14:20:17
GothenburgBitFactory/timewarrior,cea2e5d13f262270631175e273f739631da9b12c,2020-07-17 21:37:46
Katello/katello,40444746ba29e2b9f92887dccf0d3e0e1a150b54,2020-08-03 17:26:55
tarantool/tarantool,6e11674dd38822b9022bf33255b57b78364a54aa,2020-07-31 00:24:44
nirizr/rematch,06a40c38d6fcf70fea201868a831e03b34bb93c9,2018-11-28 11:13:04
qt/qtbase,b3c1093751072110d34b9746d419e8070c80fc3f,2020-07-24 12:30:00
trezor/trezor-firmware,01ac2ec48d984f90feaf65fd127131eaf6c15447,2020-08-05 23:20:29
tianocore/edk2,bbb8a818583853ec4bb7804e78ed1d304b709d33,2020-07-24 17:37:42
zephyrproject-rtos/zephyr,63643388158c261a4aaeedb429179ce02452d587,2020-07-31 08:31:58
projectacrn/acrn-hypervisor,76e0461caa2fc90de1236e5897cdb9b4150f06bc,2020-08-05 14:03:13
OSGeo/gdal,84090e20f2da81a539798dfeb414ba619229f629,2020-08-03 22:23:35
yuwata/systemd,73b432e7ef212bfad8a3652687621c87d26536b5,2020-07-31 11:35:15
KiCad/kicad-source-mirror,9ff09aa784551264e89350368f61ed6b35266f7a,2020-06-01 17:05:40
tianocore/edk2,bbb8a818583853ec4bb7804e78ed1d304b709d33,2020-07-24 17:37:42
spring-projects/spring-boot,dac63fc3e52ecb36677965b97b96ebbf1a7871c8,2020-08-06 15:50:51
OSGeo/gdal,84090e20f2da81a539798dfeb414ba619229f629,2020-08-03 22:23:35
qt/qtbase,b3c1093751072110d34b9746d419e8070c80fc3f,2020-07-24 12:30:00
hansec/fortran-language-server,13bf664506852189621d36d81487a2c2352968b0,2020-04-01 18:16:47
chris2511/xca,31d173d2bdc88d80fd8f23678496d062600dd5a3,2020-04-29 15:59:14
duplicati/duplicati,8f631a99f078a78edd8b2fb9e741870069fe71ff,2020-07-31 16:55:26
ManifoldScholar/manifold,2c12c470f4f1a69ad45a9e0faefb798eabc41323,2020-08-04 15:05:27
